GFX File: Graphics\Sprites.gfx
Sub-sprite Count: 622

Sprite #000: x=275, y=243, w=6, h=6
Sprite #100: x=409, y=264, w=12, h=5
Sprite #101: x=0, y=0, w=12, h=5
Sprite #102: x=0, y=0, w=158, h=310
Sprite #103: x=9, y=5, w=0, h=0
Sprite #104: x=9, y=5, w=0, h=0
Sprite #105: x=158, y=315, w=9, h=5
Sprite #106: x=0, y=0, w=9, h=5
Sprite #107: x=0, y=0, w=270, h=367
Sprite #108: x=19, y=23, w=0, h=4
Sprite #109: x=20, y=27, w=0, h=0
Sprite #110: x=547, y=391, w=17, h=16
Sprite #111: x=9, y=10, w=33, h=32
Sprite #112: x=0, y=1, w=601, h=163
Sprite #113: x=7, y=10, w=12, h=12
Sprite #114: x=33, y=32, w=0, h=1
Sprite #115: x=357, y=389, w=18, h=18
Sprite #116: x=7, y=7, w=33, h=32
Sprite #117: x=0, y=1, w=530, h=296
Sprite #118: x=24, y=24, w=5, h=4
Sprite #119: x=33, y=32, w=0, h=1
Sprite #120: x=340, y=166, w=33, h=31
Sprite #121: x=0, y=0, w=33, h=32
Sprite #122: x=0, y=1, w=252, h=180
Sprite #123: x=33, y=31, w=0, h=0
Sprite #124: x=33, y=32, w=0, h=0
Sprite #125: x=90, y=182, w=33, h=31
Sprite #126: x=0, y=0, w=33, h=32
Sprite #127: x=0, y=0, w=123, h=182
Sprite #128: x=33, y=31, w=0, h=0
Sprite #129: x=33, y=32, w=0, h=0
Sprite #130: x=639, y=0, w=1, h=1
Sprite #131: x=0, y=0, w=33, h=32
Sprite #132: x=0, y=1, w=302, h=275
Sprite #133: x=12, y=5, w=0, h=0
Sprite #134: x=12, y=5, w=0, h=0
Sprite #135: x=451, y=316, w=9, h=5
Sprite #136: x=0, y=0, w=9, h=5
Sprite #137: x=0, y=0, w=567, h=322
Sprite #138: x=9, y=5, w=0, h=0
Sprite #139: x=9, y=5, w=0, h=0
Sprite #140: x=186, y=150, w=20, h=25
Sprite #141: x=0, y=2, w=20, h=27
Sprite #142: x=0, y=0, w=547, h=391
Sprite #143: x=17, y=16, w=9, h=10
Sprite #144: x=33, y=32, w=0, h=1
Sprite #145: x=601, y=163, w=7, h=10
Sprite #146: x=12, y=12, w=33, h=32
Sprite #147: x=0, y=1, w=357, h=389
Sprite #148: x=18, y=18, w=7, h=7
Sprite #149: x=33, y=32, w=0, h=1
Sprite #150: x=530, y=296, w=24, h=24
Sprite #151: x=5, y=4, w=33, h=32
Sprite #152: x=0, y=1, w=340, h=166
Sprite #153: x=33, y=31, w=0, h=0
Sprite #154: x=33, y=32, w=0, h=1
Sprite #155: x=566, y=182, w=33, h=31
Sprite #156: x=0, y=0, w=33, h=32
Sprite #157: x=0, y=0, w=0, h=187
Sprite #158: x=33, y=31, w=0, h=0
Sprite #159: x=33, y=32, w=0, h=0
Sprite #160: x=518, y=189, w=33, h=31
Sprite #161: x=2, y=0, w=36, h=32
Sprite #162: x=0, y=0, w=639, h=0
Sprite #163: x=1, y=1, w=0, h=0
Sprite #164: x=36, y=32, w=0, h=1
Sprite #165: x=436, y=275, w=12, h=5
Sprite #166: x=0, y=0, w=12, h=5
Sprite #167: x=0, y=0, w=567, h=327
Sprite #168: x=9, y=5, w=0, h=0
Sprite #169: x=9, y=5, w=0, h=0
Sprite #170: x=471, y=328, w=9, h=5
Sprite #171: x=0, y=0, w=9, h=5
Sprite #172: x=0, y=0, w=0, h=322
Sprite #173: x=20, y=24, w=0, h=3
Sprite #174: x=20, y=27, w=0, h=0
Sprite #175: x=547, y=391, w=17, h=16
Sprite #176: x=9, y=10, w=33, h=32
Sprite #177: x=0, y=1, w=601, h=163
Sprite #178: x=7, y=10, w=12, h=12
Sprite #179: x=33, y=32, w=0, h=1
Sprite #180: x=357, y=389, w=18, h=18
Sprite #181: x=7, y=7, w=33, h=32
Sprite #182: x=0, y=1, w=530, h=296
Sprite #183: x=24, y=24, w=5, h=4
Sprite #184: x=33, y=32, w=0, h=1
Sprite #185: x=340, y=166, w=33, h=31
Sprite #186: x=0, y=0, w=33, h=32
Sprite #187: x=0, y=1, w=33, h=190
Sprite #188: x=33, y=31, w=0, h=0
Sprite #189: x=33, y=32, w=0, h=0
Sprite #190: x=439, y=195, w=33, h=31
Sprite #191: x=0, y=0, w=33, h=32
Sprite #192: x=0, y=0, w=472, h=195
Sprite #193: x=33, y=31, w=2, h=0
Sprite #194: x=36, y=32, w=0, h=0
Sprite #195: x=639, y=0, w=1, h=1
Sprite #196: x=0, y=0, w=36, h=32
Sprite #197: x=0, y=1, w=98, h=282
Sprite #198: x=12, y=5, w=0, h=0
Sprite #199: x=12, y=5, w=0, h=0
Sprite #200: x=420, y=329, w=9, h=5
Sprite #201: x=0, y=0, w=9, h=5
Sprite #202: x=0, y=0, w=253, h=330
Sprite #203: x=9, y=5, w=0, h=0
Sprite #204: x=9, y=5, w=0, h=0
Sprite #205: x=158, y=323, w=20, h=24
Sprite #206: x=0, y=3, w=20, h=27
Sprite #207: x=0, y=0, w=547, h=391
Sprite #208: x=17, y=16, w=10, h=11
Sprite #209: x=36, y=32, w=0, h=1
Sprite #210: x=601, y=163, w=7, h=10
Sprite #211: x=14, y=13, w=36, h=32
Sprite #212: x=0, y=1, w=357, h=389
Sprite #213: x=18, y=18, w=9, h=7
Sprite #214: x=36, y=32, w=0, h=1
Sprite #215: x=530, y=296, w=24, h=24
Sprite #216: x=6, y=5, w=36, h=32
Sprite #217: x=0, y=1, w=340, h=166
Sprite #218: x=33, y=31, w=2, h=1
Sprite #219: x=36, y=32, w=0, h=1
Sprite #220: x=30, y=150, w=34, h=31
Sprite #221: x=2, y=1, w=36, h=32
Sprite #222: x=0, y=0, w=337, h=197
Sprite #223: x=33, y=31, w=2, h=1
Sprite #224: x=36, y=32, w=0, h=0
Sprite #225: x=304, y=144, w=36, h=32
Sprite #226: x=0, y=0, w=36, h=32
Sprite #227: x=0, y=0, w=639, h=0
Sprite #228: x=1, y=1, w=0, h=0
Sprite #229: x=36, y=32, w=0, h=1
Sprite #230: x=625, y=288, w=12, h=5
Sprite #231: x=0, y=0, w=12, h=5
Sprite #232: x=0, y=0, w=567, h=332
Sprite #233: x=9, y=5, w=0, h=0
Sprite #234: x=9, y=5, w=0, h=0
Sprite #235: x=277, y=337, w=9, h=5
Sprite #236: x=0, y=0, w=9, h=5
Sprite #237: x=0, y=0, w=432, h=367
Sprite #238: x=19, y=23, w=0, h=4
Sprite #239: x=20, y=27, w=0, h=0
Sprite #240: x=134, y=213, w=20, h=25
Sprite #241: x=6, y=6, w=33, h=32
Sprite #242: x=0, y=0, w=66, h=190
Sprite #243: x=21, y=21, w=6, h=11
Sprite #244: x=33, y=32, w=0, h=0
Sprite #245: x=463, y=301, w=26, h=22
Sprite #246: x=3, y=10, w=33, h=32
Sprite #247: x=0, y=0, w=115, h=264
Sprite #248: x=30, y=25, w=2, h=7
Sprite #249: x=33, y=32, w=0, h=0
Sprite #250: x=503, y=248, w=30, h=26
Sprite #251: x=2, y=6, w=33, h=32
Sprite #252: x=0, y=0, w=473, h=226
Sprite #253: x=30, y=28, w=2, h=4
Sprite #254: x=33, y=32, w=0, h=0
Sprite #255: x=253, y=211, w=30, h=32
Sprite #256: x=2, y=0, w=33, h=32
Sprite #257: x=0, y=0, w=639, h=0
Sprite #258: x=1, y=1, w=0, h=0
Sprite #259: x=33, y=32, w=0, h=1
Sprite #260: x=625, y=293, w=12, h=5
Sprite #261: x=0, y=0, w=12, h=5
Sprite #262: x=0, y=0, w=44, h=343
Sprite #263: x=9, y=5, w=0, h=0
Sprite #264: x=9, y=5, w=0, h=0
Sprite #265: x=301, y=347, w=9, h=5
Sprite #266: x=0, y=0, w=9, h=5
Sprite #267: x=0, y=0, w=360, h=365
Sprite #268: x=19, y=24, w=0, h=3
Sprite #269: x=20, y=27, w=0, h=0
Sprite #270: x=624, y=320, w=16, h=16
Sprite #271: x=9, y=10, w=33, h=32
Sprite #272: x=0, y=0, w=299, h=307
Sprite #273: x=26, y=20, w=4, h=9
Sprite #274: x=33, y=32, w=0, h=0
Sprite #275: x=400, y=62, w=26, h=23
Sprite #276: x=4, y=6, w=33, h=32
Sprite #277: x=0, y=0, w=409, h=275
Sprite #278: x=27, y=25, w=3, h=4
Sprite #279: x=33, y=32, w=0, h=0
Sprite #280: x=71, y=270, w=27, h=27
Sprite #281: x=3, y=2, w=33, h=32
Sprite #282: x=0, y=0, w=44, h=263
Sprite #283: x=27, y=28, w=3, h=1
Sprite #284: x=33, y=32, w=0, h=0
Sprite #285: x=639, y=0, w=1, h=1
Sprite #286: x=0, y=0, w=33, h=32
Sprite #287: x=0, y=1, w=110, h=313
Sprite #288: x=12, y=5, w=0, h=0
Sprite #289: x=12, y=5, w=0, h=0
Sprite #290: x=44, y=348, w=9, h=5
Sprite #291: x=0, y=0, w=9, h=5
Sprite #292: x=0, y=0, w=301, h=352
Sprite #293: x=9, y=5, w=0, h=0
Sprite #294: x=9, y=5, w=0, h=0
Sprite #295: x=198, y=355, w=20, h=23
Sprite #296: x=0, y=4, w=20, h=27
Sprite #297: x=0, y=0, w=596, h=384
Sprite #298: x=21, y=19, w=5, h=7
Sprite #299: x=33, y=32, w=0, h=0
Sprite #300: x=402, y=383, w=20, h=20
Sprite #301: x=7, y=6, w=33, h=32
Sprite #302: x=0, y=0, w=273, h=291
Sprite #303: x=26, y=24, w=4, h=4
Sprite #304: x=33, y=32, w=0, h=0
Sprite #305: x=156, y=182, w=28, h=27
Sprite #306: x=3, y=2, w=33, h=32
Sprite #307: x=0, y=0, w=90, h=150
Sprite #308: x=32, y=32, w=1, h=0
Sprite #309: x=33, y=32, w=0, h=0
Sprite #310: x=122, y=150, w=32, h=32
Sprite #311: x=1, y=0, w=33, h=32
Sprite #312: x=0, y=0, w=639, h=0
Sprite #313: x=1, y=1, w=0, h=0
Sprite #314: x=33, y=32, w=0, h=1
Sprite #315: x=253, y=320, w=12, h=5
Sprite #316: x=0, y=0, w=12, h=5
Sprite #317: x=0, y=0, w=360, h=357
Sprite #318: x=9, y=5, w=0, h=0
Sprite #319: x=9, y=5, w=0, h=0
Sprite #320: x=508, y=357, w=9, h=5
Sprite #321: x=0, y=0, w=9, h=5
Sprite #322: x=0, y=0, w=250, h=357
Sprite #323: x=20, y=23, w=0, h=4
Sprite #324: x=20, y=27, w=0, h=0
Sprite #325: x=195, y=302, w=22, h=24
Sprite #326: x=6, y=6, w=33, h=32
Sprite #327: x=0, y=0, w=411, h=300
Sprite #328: x=23, y=24, w=5, h=6
Sprite #329: x=33, y=32, w=0, h=0
Sprite #330: x=329, y=296, w=24, h=25
Sprite #331: x=5, y=6, w=33, h=32
Sprite #332: x=0, y=0, w=195, h=276
Sprite #333: x=25, y=26, w=4, h=5
Sprite #334: x=33, y=32, w=0, h=0
Sprite #335: x=275, y=263, w=27, h=28
Sprite #336: x=3, y=3, w=33, h=32
Sprite #337: x=0, y=0, w=0, h=218
Sprite #338: x=29, y=32, w=2, h=0
Sprite #339: x=33, y=32, w=0, h=0
Sprite #340: x=639, y=0, w=1, h=1
Sprite #341: x=0, y=0, w=33, h=32
Sprite #342: x=0, y=1, w=471, h=323
Sprite #343: x=12, y=5, w=0, h=0
Sprite #344: x=12, y=5, w=0, h=0
Sprite #345: x=432, y=360, w=9, h=5
Sprite #346: x=0, y=0, w=9, h=5
Sprite #347: x=0, y=0, w=627, h=361
Sprite #348: x=9, y=5, w=0, h=0
Sprite #349: x=9, y=5, w=0, h=0
Sprite #350: x=340, y=357, w=20, h=23
Sprite #351: x=0, y=4, w=20, h=27
Sprite #352: x=0, y=0, w=547, h=391
Sprite #353: x=17, y=16, w=9, h=10
Sprite #354: x=33, y=32, w=0, h=1
Sprite #355: x=601, y=163, w=7, h=10
Sprite #356: x=12, y=12, w=33, h=32
Sprite #357: x=0, y=1, w=357, h=389
Sprite #358: x=18, y=18, w=7, h=7
Sprite #359: x=33, y=32, w=0, h=1
Sprite #360: x=530, y=296, w=24, h=24
Sprite #361: x=5, y=4, w=33, h=32
Sprite #362: x=0, y=1, w=340, h=166
Sprite #363: x=33, y=31, w=0, h=0
Sprite #364: x=33, y=32, w=0, h=1
Sprite #365: x=599, y=206, w=33, h=31
Sprite #366: x=0, y=0, w=33, h=32
Sprite #367: x=0, y=0, w=285, h=207
Sprite #368: x=33, y=31, w=0, h=0
Sprite #369: x=33, y=32, w=0, h=0
Sprite #370: x=370, y=210, w=33, h=31
Sprite #371: x=0, y=0, w=33, h=32
Sprite #372: x=0, y=0, w=639, h=0
Sprite #373: x=1, y=1, w=0, h=0
Sprite #374: x=33, y=32, w=0, h=1
Sprite #375: x=420, y=324, w=12, h=5
Sprite #376: x=0, y=0, w=12, h=5
Sprite #377: x=0, y=0, w=238, h=365
Sprite #378: x=9, y=5, w=0, h=0
Sprite #379: x=9, y=5, w=0, h=0
Sprite #380: x=527, y=365, w=9, h=5
Sprite #381: x=0, y=0, w=9, h=5
Sprite #382: x=0, y=0, w=468, h=357
Sprite #383: x=20, y=23, w=0, h=4
Sprite #384: x=20, y=27, w=0, h=0
Sprite #385: x=547, y=391, w=17, h=16
Sprite #386: x=9, y=10, w=33, h=32
Sprite #387: x=0, y=1, w=601, h=163
Sprite #388: x=7, y=10, w=12, h=12
Sprite #389: x=33, y=32, w=0, h=1
Sprite #390: x=357, y=389, w=18, h=18
Sprite #391: x=7, y=7, w=33, h=32
Sprite #392: x=0, y=1, w=530, h=296
Sprite #393: x=24, y=24, w=5, h=4
Sprite #394: x=33, y=32, w=0, h=1
Sprite #395: x=340, y=166, w=33, h=31
Sprite #396: x=0, y=0, w=33, h=32
Sprite #397: x=0, y=1, w=403, h=210
Sprite #398: x=33, y=31, w=0, h=0
Sprite #399: x=33, y=32, w=0, h=0
Sprite #400: x=156, y=211, w=33, h=31
Sprite #401: x=0, y=0, w=33, h=32
Sprite #402: x=0, y=0, w=189, h=211
Sprite #403: x=33, y=31, w=0, h=0
Sprite #404: x=33, y=32, w=0, h=0
Sprite #405: x=639, y=0, w=1, h=1
Sprite #406: x=0, y=0, w=33, h=32
Sprite #407: x=0, y=1, w=253, h=325
Sprite #408: x=12, y=5, w=0, h=0
Sprite #409: x=12, y=5, w=0, h=0
Sprite #410: x=576, y=365, w=9, h=5
Sprite #411: x=0, y=0, w=9, h=5
Sprite #412: x=0, y=0, w=627, h=366
Sprite #413: x=9, y=5, w=0, h=0
Sprite #414: x=9, y=5, w=0, h=0
Sprite #415: x=488, y=357, w=20, h=23
Sprite #416: x=0, y=4, w=20, h=27
Sprite #417: x=0, y=0, w=140, h=390
Sprite #418: x=19, y=15, w=9, h=9
Sprite #419: x=33, y=32, w=0, h=0
Sprite #420: x=632, y=220, w=7, h=7
Sprite #421: x=15, y=14, w=33, h=32
Sprite #422: x=0, y=0, w=539, h=220
Sprite #423: x=10, y=10, w=13, h=12
Sprite #424: x=33, y=32, w=0, h=0
Sprite #425: x=439, y=397, w=18, h=15
Sprite #426: x=9, y=9, w=33, h=32
Sprite #427: x=0, y=0, w=479, h=254
Sprite #428: x=22, y=17, w=6, h=8
Sprite #429: x=33, y=32, w=0, h=0
Sprite #430: x=169, y=302, w=26, h=21
Sprite #431: x=4, y=5, w=33, h=32
Sprite #432: x=0, y=0, w=425, h=249
Sprite #433: x=30, y=26, w=2, h=2
Sprite #434: x=33, y=32, w=0, h=0
Sprite #435: x=639, y=0, w=1, h=1
Sprite #436: x=0, y=0, w=33, h=32
Sprite #437: x=0, y=1, w=202, h=326
Sprite #438: x=12, y=5, w=0, h=0
Sprite #439: x=12, y=5, w=0, h=0
Sprite #440: x=289, y=367, w=9, h=5
Sprite #441: x=0, y=0, w=9, h=5
Sprite #442: x=0, y=0, w=451, h=367
Sprite #443: x=9, y=5, w=0, h=0
Sprite #444: x=9, y=5, w=0, h=0
Sprite #445: x=166, y=369, w=19, h=23
Sprite #446: x=0, y=4, w=20, h=27
Sprite #447: x=0, y=0, w=220, h=276
Sprite #448: x=24, y=26, w=4, h=3
Sprite #449: x=32, y=32, w=0, h=0
Sprite #450: x=154, y=150, w=32, h=32
Sprite #451: x=0, y=0, w=32, h=32
Sprite #452: x=0, y=0, w=569, h=150
Sprite #453: x=32, y=32, w=0, h=0
Sprite #454: x=32, y=32, w=0, h=0
Sprite #455: x=534, y=157, w=32, h=32
Sprite #456: x=0, y=0, w=32, h=32
Sprite #457: x=0, y=0, w=454, h=163
Sprite #458: x=32, y=32, w=0, h=0
Sprite #459: x=32, y=32, w=0, h=0
Sprite #460: x=486, y=163, w=32, h=32
Sprite #461: x=0, y=0, w=32, h=32
Sprite #462: x=0, y=0, w=210, h=62
Sprite #463: x=95, y=47, w=5, h=111
Sprite #464: x=105, y=158, w=0, h=0
Sprite #465: x=0, y=0, w=105, h=118
Sprite #466: x=0, y=0, w=105, h=158
Sprite #467: x=0, y=0, w=430, h=0
Sprite #468: x=72, y=87, w=0, h=0
Sprite #469: x=72, y=87, w=0, h=0
Sprite #470: x=210, y=0, w=110, h=62
Sprite #471: x=0, y=0, w=110, h=62
Sprite #472: x=0, y=0, w=634, h=175
Sprite #473: x=5, y=17, w=0, h=0
Sprite #474: x=5, y=17, w=0, h=0
Sprite #475: x=217, y=302, w=16, h=33
Sprite #476: x=0, y=0, w=16, h=33
Sprite #477: x=0, y=0, w=436, h=226
Sprite #478: x=37, y=23, w=0, h=0
Sprite #479: x=37, y=23, w=0, h=0
Sprite #480: x=489, y=304, w=16, h=33
Sprite #481: x=0, y=0, w=16, h=33
Sprite #482: x=0, y=0, w=0, h=294
Sprite #483: x=22, y=28, w=0, h=0
Sprite #484: x=22, y=28, w=0, h=0
Sprite #485: x=585, y=237, w=33, h=25
Sprite #486: x=0, y=0, w=33, h=25
Sprite #487: x=0, y=0, w=246, h=270
Sprite #488: x=27, y=27, w=0, h=0
Sprite #489: x=27, y=27, w=0, h=0
Sprite #490: x=451, y=323, w=20, h=24
Sprite #491: x=6, y=0, w=29, h=24
Sprite #492: x=0, y=0, w=44, h=358
Sprite #493: x=20, y=23, w=6, h=1
Sprite #494: x=29, y=24, w=0, h=0
Sprite #495: x=377, y=320, w=23, h=21
Sprite #496: x=6, y=3, w=29, h=24
Sprite #497: x=0, y=0, w=521, h=320
Sprite #498: x=23, y=21, w=6, h=3
Sprite #499: x=29, y=24, w=0, h=0
Sprite #500: x=289, y=385, w=20, h=17
Sprite #501: x=6, y=6, w=29, h=24
Sprite #502: x=0, y=0, w=400, h=324
Sprite #503: x=20, y=24, w=3, h=0
Sprite #504: x=29, y=24, w=0, h=0
Sprite #505: x=64, y=358, w=20, h=23
Sprite #506: x=3, y=1, w=29, h=24
Sprite #507: x=0, y=0, w=578, h=320
Sprite #508: x=23, y=21, w=0, h=3
Sprite #509: x=29, y=24, w=0, h=0
Sprite #510: x=601, y=320, w=23, h=21
Sprite #511: x=0, y=3, w=29, h=24
Sprite #512: x=0, y=0, w=0, h=386
Sprite #513: x=20, y=17, w=4, h=6
Sprite #514: x=29, y=24, w=0, h=0
Sprite #515: x=150, y=242, w=24, h=33
Sprite #516: x=0, y=0, w=25, h=33
Sprite #517: x=0, y=0, w=316, h=251
Sprite #518: x=24, y=32, w=0, h=1
Sprite #519: x=25, y=33, w=0, h=0
Sprite #520: x=340, y=264, w=23, h=32
Sprite #521: x=0, y=1, w=25, h=33
Sprite #522: x=0, y=0, w=174, h=242
Sprite #523: x=24, y=33, w=1, h=0
Sprite #524: x=25, y=33, w=0, h=0
Sprite #525: x=455, y=254, w=24, h=32
Sprite #526: x=1, y=1, w=25, h=33
Sprite #527: x=0, y=0, w=363, h=264
Sprite #528: x=23, y=32, w=2, h=1
Sprite #529: x=25, y=33, w=0, h=0
Sprite #530: x=439, y=179, w=12, h=13
Sprite #531: x=0, y=0, w=12, h=13
Sprite #532: x=0, y=0, w=302, h=263
Sprite #533: x=12, y=12, w=0, h=1
Sprite #534: x=12, y=13, w=0, h=0
Sprite #535: x=551, y=189, w=12, h=13
Sprite #536: x=0, y=0, w=12, h=13
Sprite #537: x=0, y=0, w=98, h=270
Sprite #538: x=12, y=12, w=0, h=1
Sprite #539: x=12, y=13, w=0, h=0
Sprite #540: x=551, y=202, w=9, h=7
Sprite #541: x=0, y=0, w=9, h=7
Sprite #542: x=0, y=0, w=66, h=213
Sprite #543: x=34, y=28, w=0, h=0
Sprite #544: x=35, y=28, w=0, h=0
Sprite #545: x=100, y=213, w=34, h=28
Sprite #546: x=0, y=0, w=35, h=28
Sprite #547: x=0, y=0, w=115, h=241
Sprite #548: x=35, y=23, w=0, h=5
Sprite #549: x=35, y=28, w=0, h=0
Sprite #550: x=355, y=241, w=35, h=23
Sprite #551: x=0, y=5, w=35, h=28
Sprite #552: x=0, y=0, w=373, h=166
Sprite #553: x=18, y=11, w=0, h=0
Sprite #554: x=18, y=11, w=0, h=0
Sprite #555: x=474, y=397, w=17, h=11
Sprite #556: x=0, y=0, w=18, h=11
Sprite #557: x=0, y=0, w=598, h=262
Sprite #558: x=18, y=11, w=0, h=0
Sprite #559: x=18, y=11, w=0, h=0
Sprite #560: x=29, y=400, w=17, h=11
Sprite #561: x=1, y=0, w=18, h=11
Sprite #562: x=0, y=0, w=454, h=122
Sprite #563: x=40, y=41, w=0, h=0
Sprite #564: x=40, y=41, w=0, h=0
Sprite #565: x=269, y=315, w=23, h=22
Sprite #566: x=0, y=0, w=23, h=22
Sprite #567: x=0, y=0, w=632, h=209
Sprite #568: x=5, y=11, w=0, h=0
Sprite #569: x=5, y=11, w=0, h=0
Sprite #570: x=340, y=144, w=24, h=20
Sprite #571: x=5, y=11, w=34, h=32
Sprite #572: x=0, y=0, w=178, h=326
Sprite #573: x=24, y=20, w=5, h=11
Sprite #574: x=34, y=32, w=0, h=0
Sprite #575: x=292, y=327, w=24, h=20
Sprite #576: x=5, y=11, w=34, h=32
Sprite #577: x=0, y=0, w=202, h=335
Sprite #578: x=24, y=20, w=5, h=11
Sprite #579: x=34, y=32, w=0, h=0
Sprite #580: x=253, y=337, w=24, h=20
Sprite #581: x=5, y=11, w=34, h=32
Sprite #582: x=0, y=0, w=348, h=337
Sprite #583: x=24, y=20, w=5, h=11
Sprite #584: x=34, y=32, w=0, h=0
Sprite #585: x=471, y=337, w=24, h=20
Sprite #586: x=5, y=11, w=34, h=32
Sprite #587: x=0, y=0, w=495, h=337
Sprite #588: x=24, y=20, w=5, h=11
Sprite #589: x=34, y=32, w=0, h=0
Sprite #590: x=632, y=227, w=7, h=7
Sprite #591: x=0, y=0, w=7, h=7
Sprite #592: x=0, y=0, w=54, h=181
Sprite #593: x=8, y=7, w=0, h=0
Sprite #594: x=8, y=7, w=0, h=0
Sprite #595: x=355, y=228, w=13, h=11
Sprite #596: x=0, y=0, w=13, h=11
Sprite #597: x=0, y=0, w=556, h=282
Sprite #598: x=11, y=10, w=1, h=1
Sprite #599: x=13, y=11, w=0, h=0
Sprite #600: x=559, y=112, w=11, h=8
Sprite #601: x=1, y=1, w=13, h=11
Sprite #602: x=0, y=0, w=480, h=328
Sprite #603: x=6, y=5, w=4, h=2
