GFX File: Graphics\OptionSprites.gfx
Sub-sprite Count: 252

Sprite #000: x=571, y=0, w=47, h=43
Sprite #043: x=30, y=32, w=0, h=0
Sprite #044: x=30, y=32, w=0, h=0
Sprite #045: x=362, y=94, w=33, h=31
Sprite #046: x=0, y=0, w=33, h=31
Sprite #047: x=0, y=0, w=395, h=94
Sprite #048: x=33, y=31, w=0, h=0
Sprite #049: x=33, y=31, w=0, h=0
Sprite #050: x=428, y=94, w=33, h=31
Sprite #051: x=0, y=0, w=33, h=31
Sprite #052: x=0, y=0, w=461, h=94
Sprite #053: x=33, y=31, w=0, h=0
Sprite #054: x=33, y=31, w=0, h=0
Sprite #055: x=494, y=94, w=33, h=31
Sprite #056: x=0, y=0, w=33, h=31
Sprite #057: x=0, y=0, w=527, h=94
Sprite #058: x=33, y=31, w=0, h=0
Sprite #059: x=33, y=31, w=0, h=0
Sprite #060: x=520, y=0, w=51, h=51
Sprite #061: x=0, y=0, w=51, h=51
Sprite #062: x=0, y=0, w=286, h=0
Sprite #063: x=156, y=44, w=1, h=1
Sprite #064: x=158, y=45, w=0, h=0
Sprite #065: x=0, y=0, w=130, h=121
Sprite #066: x=0, y=0, w=130, h=121
Sprite #067: x=0, y=0, w=130, h=0
Sprite #068: x=156, y=59, w=0, h=0
Sprite #069: x=156, y=59, w=0, h=0
Sprite #070: x=618, y=40, w=1, h=1
Sprite #071: x=0, y=0, w=6, h=5
Sprite #072: x=0, y=0, w=638, h=54
Sprite #073: x=2, y=10, w=1, h=1
Sprite #074: x=4, y=12, w=0, h=0
Sprite #075: x=14, y=131, w=5, h=4
Sprite #076: x=1, y=1, w=7, h=12
Sprite #077: x=0, y=0, w=620, h=118
Sprite #078: x=8, y=10, w=1, h=1
Sprite #079: x=9, y=12, w=0, h=0
Sprite #080: x=633, y=107, w=7, h=12
Sprite #081: x=1, y=0, w=8, h=12
Sprite #082: x=0, y=0, w=258, h=59
Sprite #083: x=10, y=10, w=1, h=1
Sprite #084: x=12, y=12, w=0, h=0
Sprite #085: x=584, y=94, w=9, h=10
Sprite #086: x=1, y=1, w=10, h=12
Sprite #087: x=0, y=0, w=211, h=76
Sprite #088: x=2, y=4, w=1, h=1
Sprite #089: x=4, y=12, w=0, h=0
Sprite #090: x=436, y=44, w=4, h=12
Sprite #091: x=1, y=0, w=5, h=12
Sprite #092: x=0, y=0, w=436, h=56
Sprite #093: x=4, y=12, w=1, h=0
Sprite #094: x=5, y=12, w=0, h=0
Sprite #095: x=547, y=74, w=5, h=5
Sprite #096: x=1, y=1, w=7, h=12
Sprite #097: x=0, y=0, w=247, h=128
Sprite #098: x=7, y=7, w=1, h=2
Sprite #099: x=9, y=12, w=0, h=0
Sprite #100: x=540, y=67, w=2, h=5
Sprite #101: x=1, y=8, w=4, h=13
Sprite #102: x=0, y=0, w=294, h=78
Sprite #103: x=4, y=2, w=1, h=6
Sprite #104: x=6, y=12, w=0, h=0
Sprite #105: x=581, y=125, w=2, h=3
Sprite #106: x=1, y=8, w=4, h=12
Sprite #107: x=0, y=0, w=287, h=128
Sprite #108: x=4, y=10, w=1, h=1
Sprite #109: x=5, y=12, w=0, h=0
Sprite #110: x=552, y=125, w=6, h=10
Sprite #111: x=1, y=1, w=8, h=12
Sprite #112: x=0, y=0, w=564, h=130
Sprite #113: x=4, y=10, w=1, h=1
Sprite #114: x=6, y=12, w=0, h=0
Sprite #115: x=293, y=126, w=6, h=10
Sprite #116: x=1, y=1, w=8, h=12
Sprite #117: x=0, y=0, w=299, h=126
Sprite #118: x=6, y=10, w=1, h=1
Sprite #119: x=8, y=12, w=0, h=0
Sprite #120: x=371, y=125, w=7, h=10
Sprite #121: x=1, y=1, w=9, h=12
Sprite #122: x=0, y=0, w=378, h=125
Sprite #123: x=7, y=10, w=1, h=1
Sprite #124: x=8, y=12, w=0, h=0
Sprite #125: x=305, y=126, w=6, h=10
Sprite #126: x=1, y=1, w=8, h=12
Sprite #127: x=0, y=0, w=311, h=126
Sprite #128: x=6, y=10, w=1, h=1
Sprite #129: x=8, y=12, w=0, h=0
Sprite #130: x=317, y=126, w=6, h=10
Sprite #131: x=1, y=1, w=8, h=12
Sprite #132: x=0, y=0, w=126, h=128
Sprite #133: x=6, y=10, w=1, h=1
Sprite #134: x=8, y=12, w=0, h=0
Sprite #135: x=567, y=63, w=2, h=8
Sprite #136: x=1, y=2, w=4, h=12
Sprite #137: x=0, y=0, w=638, h=64
Sprite #138: x=2, y=10, w=1, h=2
Sprite #139: x=4, y=13, w=0, h=0
Sprite #140: x=162, y=128, w=7, h=8
Sprite #141: x=1, y=2, w=8, h=11
Sprite #142: x=0, y=0, w=591, h=130
Sprite #143: x=7, y=5, w=1, h=3
Sprite #144: x=9, y=11, w=0, h=0
Sprite #145: x=169, y=128, w=7, h=8
Sprite #146: x=1, y=2, w=8, h=11
Sprite #147: x=0, y=0, w=385, h=125
Sprite #148: x=7, y=10, w=1, h=1
Sprite #149: x=9, y=11, w=0, h=0
Sprite #150: x=544, y=51, w=13, h=13
Sprite #151: x=1, y=1, w=14, h=15
Sprite #152: x=0, y=0, w=593, h=94
Sprite #153: x=9, y=10, w=1, h=1
Sprite #154: x=10, y=12, w=0, h=0
Sprite #155: x=628, y=119, w=8, h=10
Sprite #156: x=1, y=1, w=10, h=12
Sprite #157: x=0, y=0, w=216, h=68
Sprite #158: x=9, y=11, w=1, h=0
Sprite #159: x=10, y=12, w=0, h=0
Sprite #160: x=0, y=121, w=8, h=10
Sprite #161: x=1, y=1, w=10, h=12
Sprite #162: x=0, y=0, w=392, h=125
Sprite #163: x=7, y=10, w=1, h=1
Sprite #164: x=9, y=12, w=0, h=0
Sprite #165: x=399, y=125, w=7, h=10
Sprite #166: x=1, y=1, w=8, h=12
Sprite #167: x=0, y=0, w=166, h=69
Sprite #168: x=9, y=11, w=1, h=0
Sprite #169: x=11, y=12, w=0, h=0
Sprite #170: x=8, y=121, w=8, h=10
Sprite #171: x=1, y=1, w=10, h=12
Sprite #172: x=0, y=0, w=638, h=74
Sprite #173: x=2, y=10, w=1, h=1
Sprite #174: x=4, y=12, w=0, h=0
Sprite #175: x=132, y=128, w=6, h=10
Sprite #176: x=1, y=1, w=8, h=12
Sprite #177: x=0, y=0, w=602, h=97
Sprite #178: x=9, y=10, w=1, h=1
Sprite #179: x=10, y=12, w=0, h=0
Sprite #180: x=406, y=125, w=7, h=10
Sprite #181: x=1, y=1, w=8, h=12
Sprite #182: x=0, y=0, w=611, h=97
Sprite #183: x=9, y=10, w=1, h=1
Sprite #184: x=11, y=12, w=0, h=0
Sprite #185: x=16, y=121, w=8, h=10
Sprite #186: x=1, y=1, w=10, h=12
Sprite #187: x=0, y=0, w=175, h=69
Sprite #188: x=9, y=11, w=1, h=0
Sprite #189: x=11, y=12, w=0, h=0
Sprite #190: x=24, y=121, w=8, h=10
Sprite #191: x=1, y=1, w=9, h=12
Sprite #192: x=0, y=0, w=206, h=59
Sprite #193: x=10, y=12, w=1, h=0
Sprite #194: x=11, y=12, w=0, h=0
Sprite #195: x=620, y=97, w=9, h=10
Sprite #196: x=1, y=1, w=10, h=12
Sprite #197: x=0, y=0, w=276, h=69
Sprite #198: x=8, y=11, w=1, h=0
Sprite #199: x=10, y=12, w=0, h=0
Sprite #200: x=32, y=121, w=8, h=10
Sprite #201: x=1, y=1, w=9, h=12
Sprite #202: x=0, y=0, w=40, h=121
Sprite #203: x=8, y=10, w=1, h=1
Sprite #204: x=10, y=12, w=0, h=0
Sprite #205: x=629, y=97, w=9, h=10
Sprite #206: x=1, y=1, w=11, h=12
Sprite #207: x=0, y=0, w=180, h=59
Sprite #208: x=13, y=10, w=1, h=1
Sprite #209: x=14, y=12, w=0, h=0
Sprite #210: x=584, y=104, w=9, h=10
Sprite #211: x=1, y=1, w=10, h=12
Sprite #212: x=0, y=0, w=560, h=106
Sprite #213: x=9, y=10, w=0, h=1
Sprite #214: x=9, y=12, w=0, h=0
Sprite #215: x=48, y=121, w=8, h=10
Sprite #216: x=1, y=1, w=10, h=12
Sprite #217: x=0, y=0, w=436, h=68
Sprite #218: x=4, y=12, w=1, h=0
Sprite #219: x=6, y=12, w=0, h=0
Sprite #220: x=568, y=130, w=4, h=10
Sprite #221: x=1, y=1, w=6, h=12
Sprite #222: x=0, y=0, w=636, h=119
Sprite #223: x=4, y=12, w=1, h=0
Sprite #224: x=5, y=12, w=0, h=0
Sprite #225: x=585, y=130, w=6, h=6
Sprite #226: x=1, y=0, w=8, h=7
Sprite #227: x=0, y=0, w=581, h=77
Sprite #228: x=8, y=2, w=1, h=10
Sprite #229: x=10, y=12, w=0, h=0
Sprite #230: x=306, y=78, w=3, h=2
Sprite #231: x=1, y=1, w=5, h=12
Sprite #232: x=0, y=0, w=176, h=128
Sprite #233: x=7, y=8, w=1, h=3
Sprite #234: x=8, y=12, w=0, h=0
Sprite #235: x=413, y=125, w=7, h=10
Sprite #236: x=1, y=1, w=9, h=12
Sprite #237: x=0, y=0, w=183, h=128
Sprite #238: x=7, y=8, w=1, h=3
Sprite #239: x=8, y=12, w=0, h=0
Sprite #240: x=420, y=125, w=7, h=10
Sprite #241: x=1, y=1, w=9, h=12
Sprite #242: x=0, y=0, w=190, h=128
Sprite #243: x=7, y=8, w=1, h=3
Sprite #244: x=8, y=12, w=0, h=0
Sprite #245: x=237, y=128, w=5, h=10
Sprite #246: x=1, y=1, w=7, h=12
Sprite #247: x=0, y=0, w=427, h=125
Sprite #248: x=7, y=10, w=1, h=3
Sprite #249: x=9, y=14, w=0, h=0
Sprite #250: x=138, y=128, w=6, h=10
Sprite #251: x=1, y=1, w=8, h=12
